duration,velocity,label
0.86,-90.00,dash
1.11,-48.00,dash
0.99,-24.00,dash
1.09,-45.00,dash
0.96,-40.00,dash
0.98,-54.00,dash
1.00,-43.00,dash
1.18,-53.00,dash
1.08,-13.00,dash
1.03,-56.00,dash
0.94,-38.00,dash
0.95,-43.00,dash
1.09,-46.00,dash
0.97,-20.00,dash
0.90,-24.00,dash
0.93,-46.00,dash
0.92,-13.00,dash
0.88,-36.00,dash
0.94,-41.00,dash
0.86,-17.00,dash
0.86,-32.00,dash
0.85,-23.00,dash
1.10,-15.00,dash
1.03,-14.00,dash
1.06,-35.00,dash
1.13,-39.00,dash
1.20,-27.00,dash
0.85,-13.00,dash
1.04,-47.00,dash
1.00,-11.00,dash
1.00,-41.00,dash
0.97,-26.00,dash
1.10,-45.00,dash
0.98,-19.00,dash
1.09,-18.00,dash
0.91,-30.00,dash
1.18,-37.00,dash
0.97,-39.00,dash
1.05,-55.00,dash
0.98,-14.00,dash
1.05,-37.00,dash
1.00,-19.00,dash
1.10,-11.00,dash
1.11,-52.00,dash
0.86,-18.00,dash
1.12,-23.00,dash
0.98,-15.00,dash
0.87,-25.00,dash
0.87,-42.00,dash
1.07,-40.00,dash
1.06,-13.00,dash
0.86,-20.00,dash
1.04,-19.00,dash
1.00,-19.00,dash
1.03,-12.00,dash
1.05,-14.00,dash
1.05,-14.00,dash
1.15,-12.00,dash
1.12,-19.00,dash
