duration,velocity,label
0.63,-38.00,idle
0.66,-70.00,idle
0.62,-19.00,idle
0.67,-61.00,idle
0.69,-21.00,idle
0.72,-89.00,idle
0.69,-14.00,idle
0.67,-36.00,idle
0.62,-41.00,idle
0.77,-72.00,idle
0.67,-55.00,idle
0.77,-43.00,idle
0.67,-84.00,idle
0.67,-48.00,idle
0.72,-73.00,idle
0.77,-26.00,idle
0.73,-34.00,idle
0.66,-22.00,idle
0.79,-26.00,idle
0.71,-56.00,idle
0.76,-25.00,idle
0.73,-18.00,idle
0.60,-52.00,idle
0.67,-78.00,idle
0.71,-46.00,idle
0.62,-70.00,idle
0.63,-61.00,idle
0.70,-83.00,idle
0.66,-85.00,idle
0.73,-55.00,idle
0.71,-27.00,idle
0.68,-45.00,idle
0.62,-45.00,idle
0.72,-58.00,idle
0.69,-56.00,idle
0.62,-50.00,idle
0.64,-37.00,idle
0.74,-66.00,idle
0.68,-29.00,idle
0.68,-14.00,idle
0.61,-40.00,idle
0.75,-33.00,idle
0.70,-50.00,idle
0.64,-60.00,idle
0.78,-42.00,idle
0.79,-58.00,idle
0.73,-36.00,idle
0.65,-47.00,idle
0.69,-30.00,idle
0.76,-49.00,idle
