duration,velocity,label
0.13,-33.00,dot
0.19,-48.00,dot
0.17,-30.00,dot
0.05,-32.00,dot
0.06,-25.00,dot
0.12,-28.00,dot
0.12,-36.00,dot
0.23,-27.00,dot
0.19,-44.00,dot
0.06,-31.00,dot
0.06,-12.00,dot
0.17,-35.00,dot
0.23,-32.00,dot
0.06,-17.00,dot
0.18,-36.00,dot
0.12,-19.00,dot
0.18,-29.00,dot
0.12,-21.00,dot
0.17,-31.00,dot
0.12,-21.00,dot
0.19,-29.00,dot
0.06,-24.00,dot
0.18,-35.00,dot
0.12,-11.00,dot
0.13,-25.00,dot
0.23,-43.00,dot
0.12,-14.00,dot
0.12,-28.00,dot
0.23,-33.00,dot
1.41,-20.00,dot
0.21,-33.00,dot
0.17,-14.00,dot
0.18,-13.00,dot
0.25,-32.00,dot
0.22,-35.00,dot
0.24,-33.00,dot
0.25,-43.00,dot
0.17,-17.00,dot
0.19,-11.00,dot
0.17,-34.00,dot
0.23,-14.00,dot
0.25,-20.00,dot
0.24,-17.00,dot
0.12,-14.00,dot
0.25,-31.00,dot
0.19,-11.00,dot
0.19,-28.00,dot
0.19,-24.00,dot
0.13,-28.00,dot
0.22,-35.00,dot
0.18,-32.00,dot
0.13,-12.00,dot
0.18,-26.00,dot
0.25,-26.00,dot
0.25,-20.00,dot
0.19,-12.00,dot
0.13,-31.00,dot
0.17,-29.00,dot
0.17,-25.00,dot
0.12,-26.00,dot
0.12,-33.00,dot
0.11,-14.00,dot
0.19,-28.00,dot
0.17,-31.00,dot
0.12,-12.00,dot
0.12,-21.00,dot
0.12,-23.00,dot
0.12,-16.00,dot
0.06,-13.00,dot
0.12,-16.00,dot
0.18,-14.00,dot
0.12,-21.00,dot
0.13,-16.00,dot
0.06,-14.00,dot
0.11,-34.00,dot
1.04,-13.00,dot
0.17,-14.00,dot
0.19,-13.00,dot
0.16,-15.00,dot
0.13,-26.00,dot
0.18,-29.00,dot
0.11,-31.00,dot
0.12,-18.00,dot
0.12,-18.00,dot
0.12,-13.00,dot
0.18,-15.00,dot
0.05,-34.00,dot
0.13,-24.00,dot
0.06,-13.00,dot
1.41,-12.00,dot
